,DOM,delay,Time
1,2.0,4.0,1620601201.7
2,6.0,4.0,1620601201.7
3,11.0,-5.0,1620601201.7
4,12.0,5.0,1620601201.7
5,13.0,-3.0,1620601201.7
6,14.0,0.0,1620601201.7
7,16.0,3.0,1620601201.7
8,18.0,-1.0,1620601201.7
9,2.0,3.0,1620601202.7
10,6.0,4.0,1620601202.7
11,11.0,-5.0,1620601202.7
12,12.0,5.0,1620601202.7
13,13.0,-4.0,1620601202.7
14,14.0,-1.0,1620601202.7
15,16.0,3.0,1620601202.7
16,18.0,-1.0,1620601202.7
17,2.0,3.0,1620601203.7
18,6.0,4.0,1620601203.7
19,11.0,-5.0,1620601203.7
20,12.0,5.0,1620601203.7
21,13.0,-4.0,1620601203.7
22,14.0,-1.0,1620601203.7
23,16.0,3.0,1620601203.7
24,18.0,-1.0,1620601203.7
25,2.0,4.0,1620601204.7
26,6.0,5.0,1620601204.7
27,11.0,-4.0,1620601204.7
28,12.0,5.0,1620601204.7
29,13.0,-3.0,1620601204.7
30,14.0,0.0,1620601204.7
31,16.0,4.0,1620601204.7
32,18.0,-1.0,1620601204.7
33,2.0,3.0,1620601205.7
34,6.0,4.0,1620601205.7
35,11.0,-5.0,1620601205.7
36,12.0,5.0,1620601205.7
37,13.0,-4.0,1620601205.7
38,14.0,-1.0,1620601205.7
39,16.0,3.0,1620601205.7
40,18.0,-1.0,1620601205.7
41,2.0,3.0,1620601206.8
42,6.0,4.0,1620601206.8
43,11.0,-5.0,1620601206.8
44,12.0,4.0,1620601206.8
45,13.0,-4.0,1620601206.8
46,14.0,-1.0,1620601206.8
47,16.0,3.0,1620601206.8
48,18.0,-1.0,1620601206.8
49,2.0,3.0,1620601207.8
50,6.0,4.0,1620601207.8
51,11.0,-5.0,1620601207.8
52,12.0,5.0,1620601207.8
53,13.0,-4.0,1620601207.8
54,14.0,-1.0,1620601207.8
55,16.0,3.0,1620601207.8
56,18.0,-1.0,1620601207.8
57,2.0,3.0,1620601208.8
58,6.0,4.0,1620601208.8
59,11.0,-5.0,1620601208.8
60,12.0,5.0,1620601208.8
61,13.0,-4.0,1620601208.8
62,14.0,-1.0,1620601208.8
63,16.0,3.0,1620601208.8
64,18.0,-1.0,1620601208.8
65,2.0,4.0,1620601209.8
66,6.0,5.0,1620601209.8
67,11.0,-4.0,1620601209.8
68,12.0,5.0,1620601209.8
69,13.0,-3.0,1620601209.8
70,14.0,0.0,1620601209.8
71,16.0,3.0,1620601209.8
72,18.0,-1.0,1620601209.8
73,2.0,3.0,1620601210.8
74,6.0,4.0,1620601210.8
75,11.0,-5.0,1620601210.8
76,12.0,5.0,1620601210.8
77,13.0,-4.0,1620601210.8
78,14.0,-1.0,1620601210.8
79,16.0,3.0,1620601210.8
80,18.0,-1.0,1620601210.8
81,2.0,3.0,1620601211.8
82,6.0,4.0,1620601211.8
83,11.0,-5.0,1620601211.8
84,12.0,5.0,1620601211.8
85,13.0,-4.0,1620601211.8
86,14.0,-1.0,1620601211.8
