,DOM,delay,Time
1,2.0,4.0,1620619201.7
2,6.0,5.0,1620619201.7
3,11.0,-4.0,1620619201.7
4,12.0,5.0,1620619201.7
5,13.0,-3.0,1620619201.7
6,14.0,0.0,1620619201.7
7,16.0,3.0,1620619201.7
8,18.0,-1.0,1620619201.7
9,2.0,3.0,1620619202.7
10,6.0,4.0,1620619202.7
11,11.0,-5.0,1620619202.7
12,12.0,4.0,1620619202.7
13,13.0,-4.0,1620619202.7
14,14.0,-1.0,1620619202.7
15,16.0,2.0,1620619202.7
16,18.0,-2.0,1620619202.7
17,2.0,3.0,1620619203.7
18,6.0,4.0,1620619203.7
19,11.0,-5.0,1620619203.7
20,12.0,5.0,1620619203.7
21,13.0,-4.0,1620619203.7
22,14.0,-1.0,1620619203.7
23,16.0,3.0,1620619203.7
24,18.0,-1.0,1620619203.7
25,2.0,4.0,1620619204.7
26,6.0,4.0,1620619204.7
27,11.0,-5.0,1620619204.7
28,12.0,5.0,1620619204.7
29,13.0,-3.0,1620619204.7
30,14.0,-1.0,1620619204.7
31,16.0,3.0,1620619204.7
32,18.0,-1.0,1620619204.7
33,2.0,3.0,1620619205.8
34,6.0,4.0,1620619205.8
35,11.0,-5.0,1620619205.8
36,12.0,5.0,1620619205.8
37,13.0,-4.0,1620619205.8
38,14.0,-1.0,1620619205.8
39,16.0,3.0,1620619205.8
40,18.0,-1.0,1620619205.8
41,2.0,4.0,1620619206.8
42,6.0,5.0,1620619206.8
43,11.0,-4.0,1620619206.8
44,12.0,5.0,1620619206.8
45,13.0,-3.0,1620619206.8
46,14.0,0.0,1620619206.8
47,16.0,3.0,1620619206.8
48,18.0,-1.0,1620619206.8
49,2.0,3.0,1620619207.8
50,6.0,4.0,1620619207.8
51,11.0,-5.0,1620619207.8
52,12.0,5.0,1620619207.8
53,13.0,-4.0,1620619207.8
54,14.0,-1.0,1620619207.8
55,16.0,3.0,1620619207.8
56,18.0,-1.0,1620619207.8
57,2.0,3.0,1620619208.8
58,6.0,4.0,1620619208.8
59,11.0,-5.0,1620619208.8
60,12.0,4.0,1620619208.8
61,13.0,-4.0,1620619208.8
62,14.0,-1.0,1620619208.8
63,16.0,3.0,1620619208.8
64,18.0,-2.0,1620619208.8
65,2.0,4.0,1620619209.8
66,6.0,5.0,1620619209.8
67,11.0,-5.0,1620619209.8
68,12.0,5.0,1620619209.8
69,13.0,-3.0,1620619209.8
70,14.0,0.0,1620619209.8
71,16.0,3.0,1620619209.8
72,18.0,-1.0,1620619209.8
73,2.0,4.0,1620619210.8
74,6.0,4.0,1620619210.8
75,11.0,-5.0,1620619210.8
76,12.0,5.0,1620619210.8
77,13.0,-4.0,1620619210.8
78,14.0,-1.0,1620619210.8
79,16.0,3.0,1620619210.8
80,18.0,-1.0,1620619210.8
81,2.0,4.0,1620619211.9
82,6.0,5.0,1620619211.9
83,11.0,-5.0,1620619211.9
84,12.0,5.0,1620619211.9
85,13.0,-3.0,1620619211.9
86,14.0,0.0,1620619211.9
87,16.0,3.0,1620619211.9
88,18.0,-1.0,1620619211.9
89,2.0,3.0,1620619212.9
90,6.0,4.0,1620619212.9
91,11.0,-5.0,1620619212.9
92,12.0,4.0,1620619212.9
93,13.0,-4.0,1620619212.9
94,14.0,-1.0,1620619212.9
95,16.0,2.0,1620619212.9
96,18.0,-2.0,1620619212.9
97,2.0,4.0,1620619213.9
98,6.0,4.0,1620619213.9
99,11.0,-5.0,1620619213.9
100,12.0,5.0,1620619213.9
101,13.0,-4.0,1620619213.9
102,14.0,-1.0,1620619213.9
103,16.0,3.0,1620619213.9
104,18.0,-1.0,1620619213.9
